C3,C4,Timestamp
-127616.45795303083,-104383.47362082882,1747829846.330102
-127632.39474682746,-104383.00423419526,1747829846.33716
-127615.65329023043,-104378.64564402649,1747829846.344172
-127634.875790462,-104382.66895802844,1747829846.353139
-127614.71451696331,-104373.6388532685,1747829846.361162
-127630.96423518233,-104376.6339870255,1747829846.369193
-127616.9720431533,-104371.3813270785,1747829846.376221
-127629.60077877055,-104373.41533582394,1747829846.385158
-127616.99439489776,-104366.70981248734,1747829846.393228
-127626.58329326908,-104369.32496658863,1747829846.401273
-127620.83889494407,-104367.49212354328,1747829846.408254
-127622.96231066732,-104366.79921946517,1747829846.417262
-127618.13433386497,-104361.79242870718,1747829846.425295
-127619.83306644358,-104363.87114094153,1747829846.433323
-127623.56580776762,-104361.23363509579,1747829846.441305
-127615.25095883023,-104361.25598684026,1747829846.449319
-127624.75045022374,-104358.41731529443,1747829846.456314
-127611.7193832063,-104355.24336758177,1747829846.464354
-127625.01867115722,-104353.81285593663,1747829846.473344
-127611.31705180611,-104351.26475706873,1747829846.481406
-127629.06433690363,-104352.60586173605,1747829846.488374
-127612.70285996233,-104348.26962331172,1747829846.496397
-127629.93605493738,-104349.36485879002,1747829846.505406
-127613.08283961807,-104344.67099245441,1747829846.51241
-127630.40544157094,-104346.45913201084,1747829846.520385
-127617.68729897587,-104344.3804197765,1747829846.528421
-127631.45597356034,-104344.31336454314,1747829846.53746
-127618.71547922082,-104340.46886449681,1747829846.544446
-127629.8242962151,-104339.99947786325,1747829846.552488
-127622.15764786693,-104338.65837319594,1747829846.561497
-127632.01476717173,-104339.59714646306,1747829846.568512
-127623.16347636742,-104334.18802430488,1747829846.576526
-127631.18775262688,-104336.4231987504,1747829846.584517
-127625.01867115722,-104330.49998646975,1747829846.592529
-127627.14208688047,-104330.12000681402,1747829846.600539
-127625.97979616879,-104326.02963757869,1747829846.608562
-127627.43265955838,-104327.99659109076,1747829846.617586
-127631.25480786024,-104325.85082362304,1747829846.624596
-127627.03032815819,-104324.93440210038,1747829846.632591
-127633.4229270724,-104322.56511718812,1747829846.640622
-127626.60564501354,-104321.84986136555,1747829846.648621
-127634.76403173973,-104319.10059679755,1747829846.656639
-127623.96813916782,-104316.61955316301,1747829846.664621
-127634.09347940606,-104314.36202697302,1747829846.673647
-127625.91274093543,-104316.1725182739,1747829846.680652
-127638.4744213193,-104315.99370431826,1747829846.688752
-127624.81750545712,-104312.9762188168,1747829846.696751
-127636.7309852518,-104311.61276240501,1747829846.70472
-127621.86707518902,-104307.45533793634,1747829846.712764
-127635.14401139546,-104307.20946874731,1747829846.720753
-127621.39768855544,-104304.0131692902,1747829846.729728
-127630.15957238193,-104301.9121053114,1747829846.735737
-127613.08283961807,-104296.07830000858,1747829846.744761
-127617.82140944261,-104292.77024182919,1747829846.752741
-127602.2645953017,-104285.2153522033,1747829846.760699
-127607.13727559296,-104281.99670100173,1747829846.768717
-127588.51827246169,-104274.15123869792,1747829846.776722
-127585.63489742696,-104272.92189275289,1747829846.784826
-127566.88178382895,-104263.64591880393,1747829846.792853
-127562.09851051553,-104261.6566135474,1747829846.80187
-127545.78173706315,-104254.16877915488,1747829846.80986
-127533.77885029065,-104248.06675291857,1747829846.816912
