trial_number,label,channel3_std,channel3_var,channel3_max,channel3_range,channel3_skewness,channel3_zero_crossing_rate,channel3_theta_power,channel3_alpha_power,channel3_mu_power,channel3_beta_power,channel4_std,channel4_var,channel4_max,channel4_range,channel4_skewness,channel4_zero_crossing_rate,channel4_theta_power,channel4_alpha_power,channel4_mu_power,channel4_beta_power
0,0,1.0,1.0,1.0,1.0,0.6299533180360487,0.0,1.0,1.0,1.0,0.3431215401418946,1.0,1.0,0.0,1.0,0.1489169503208223,0.0,1.0,1.0,1.0,0.6596380666367583
1,0,0.4977675316478564,0.24815197358127333,0.3044990231232553,0.4152398827274774,0.6427732690332507,0.0,0.2264981157970003,0.334263788459237,0.3453837844979082,0.0793868625486911,0.4989953258130981,0.2492491187420189,0.5050880598429008,0.414689792059829,0.1314914168012872,0.0,0.2534329613509883,0.2822616637782183,0.28636184584827695,0.1312123774890227
2,0,0.0742591906223608,0.005618772478619699,0.0136928853632222,0.0641294850036803,0.6865526255818338,0.0232558139534879,0.0362447728185415,0.287265413030238,0.2952811987224385,0.1104331026517272,0.0678218803476243,0.0046637337142861,0.5786801990278385,0.0592002778372646,0.0767592137549951,0.0238095238095233,0.0058880992910121,0.0051005902684508,0.004820773253069999,0.0204204465680137
3,0,0.0464220556481375,0.0022221985359756995,0.0,0.038439787267685,0.6216394905596548,0.0,0.0025201647977058,0.062184982312486,0.0608329764798112,0.0192269840127301,0.0383138201449675,0.0015052050864359,0.5728277482348249,0.0310997374126912,0.1660497120950873,0.0,0.0016012830441779,0.0016172507561477,0.0012575125977710999,0.0107065438645048
4,0,0.0157342382785666,0.00027107289034339994,0.0063761996948946,0.0302135194386955,0.4688371284117674,0.0697674418604647,0.0016303916865547,0.0465227818862471,0.0478702947176391,0.0218730074393852,0.0112024857265367,0.0001366960555225,0.5346013065222026,0.0091911736348673,0.2358188531760228,0.0714285714285709,0.0006630327292483,0.0012608948249547,0.0008692627036023997,0.0
5,0,0.0039298689921093,2.1385428744777494e-05,0.0056168410040112,0.0041118189594086,0.6770122805671969,0.209302325581395,0.0041957788830516,0.0215132768270419,0.0297536176867103,0.0174269817577212,0.0006305320834532,1.034723859120517e-06,0.5241131744732614,0.0005132792901927,0.1855519501265911,0.0238095238095233,0.0001223622418903,0.0014338729700508,0.0017330232360814996,0.0232648846762189
6,0,0.0022328755217581,8.3673630890252e-06,0.0042523826876927,0.0023318511651758,0.6144763520331826,0.2790697674418606,0.0066388835256824,0.048114932132586,0.0482152865717831,0.0187159588990004,1.0251641155520352e-05,1.0470817066661876e-08,0.5243106604233306,0.0,0.1686335196185999,0.0,3.49773847737893e-05,0.0020613321460693,0.0020761897094211997,0.0053624251196656
7,0,0.001498485259284,4.516544108406643e-06,0.0045385572232919,0.0015861675672637,0.6268281480207207,0.2790697674418606,0.0026026386588819,0.1590837038019902,0.159251222898808,0.0122366001714011,0.0,0.0,0.5243869116681291,1.4828427957910796e-06,0.1473728380987996,0.0,2.316711239435696e-05,0.0003250146795666,0.0,0.0002116450643602
8,0,0.0038983550058797,2.1091270763253657e-05,0.0057069951153007,0.0132660312267875,0.3112254066860352,0.8604651162790697,0.0007753255341569,0.0455417519725602,0.0507734667785253,0.0417098225756868,0.0007227452805276,1.2526280083163332e-06,0.5243195747110849,0.0008775089917714,0.2351762011571141,0.1666666666666661,3.350497674806852e-05,0.0017936943880814,0.0013996614994707997,0.0038894281952309
9,0,0.0041136207123642,2.3140100221490394e-05,0.0078757164681778,0.0090229315624055,0.61621254067564,0.1162790697674414,0.0015181510641487,0.0169376023307419,0.0154515109069506,0.0361408051612935,0.0042495475289485,2.233727474105806e-05,0.5243182589590191,0.0031683976335277,0.1417493286706619,0.0238095238095233,0.0020331690716582,0.0116179370463123,0.011626100968441898,0.0419213576961273
10,0,0.0006631172252382,1.4455776720931155e-06,0.0035768427857847,0.0010958915893563,0.6510853707648262,0.0232558139534879,6.366006280422482e-05,0.0872947803698827,0.0845386458779132,0.0121020058712232,0.0011229587814124,2.395227995078699e-06,0.526019346885232,0.00143596743835,0.1897492530775499,0.0238095238095233,0.0011793031414261,0.0026135816770757,0.0026815051793435997,0.0006409217066408
11,0,0.0036608469519656,1.8938120014708272e-05,0.0092576166331162,0.0130158953121598,0.7020604064136051,0.6046511627906979,0.0029859478695981,0.0204853905061873,0.0190544054432458,0.0133170954389184,0.0016364527925212,4.3299500591280894e-06,0.5257162762714459,0.0026192552788921,0.1510046982404479,0.2142857142857138,0.0035857582261401,0.0122541235032382,0.012020857631156996,0.028359073836672
12,0,0.0010156688165587,2.5716627836765765e-06,0.0036096740354312,0.0011723126116175,0.6257170620481177,0.209302325581395,0.0004912474056288,0.1033007395463209,0.1046433538171591,0.0117512588252902,0.0037779539305148,1.807853796864372e-05,0.525981601490641,0.0031912201862283,0.1974848429743503,0.1190476190476186,0.0045428698810674,0.1397108516857083,0.13398026058806708,0.1872137229530568
13,0,0.0012598681064125,3.4971647356613903e-06,0.0040338240769999,0.0013274146416623,0.6402135465837718,0.6744186046511628,0.0001975088215525,0.0082409165138694,0.0073094797355551,0.0,0.0020568456426722,6.306091703831291e-06,0.5255086229397232,0.0020626778941804,0.1409446142073069,0.0952380952380952,0.0001961682712853,0.0158136085440005,0.016602431813515797,0.0076765161150222
14,0,0.0138379529867501,0.00021220239662089995,0.0219092487039015,0.056718288082616,0.5175810114221823,0.9302325581395352,0.000128991829435,0.0006693336764611,0.0008285362906654,0.1612522411084199,0.0016355722506648,4.326181467757766e-06,0.5286162733968339,0.0060461321007608,0.4191976506628579,0.1904761904761904,0.000114435985808,0.0003567237252937,0.00020865173617829995,0.0108488493192718
15,0,0.0083682132007094,8.262249645468195e-05,0.0188903706730228,0.0270555636442825,0.9853599712948072,0.6744186046511628,0.0015282582834917,0.0986485232046441,0.1058621849847408,0.5176692444980139,0.0008953570493559,1.706183472616667e-06,0.5246465304239225,0.0028544905014616,0.0,0.4999999999999995,3.415071547215815e-05,0.0008770065338165,0.0006227747838194998,0.0246936073232309
16,0,0.0073235071738528,6.466842435359977e-05,0.0056533011267903,0.0212417493202742,0.2624046702617366,0.6744186046511628,0.0035211880855612,0.1054878488241925,0.1128368008769398,0.6932392123077705,0.0023721050423401,8.019719076409721e-06,0.5269450586012968,0.0034581457541147,0.1540498353309471,0.0714285714285709,0.0014967216861825,0.0183568428610593,0.019606953274162096,0.0493018651263975
17,0,0.0074294171857827,6.638929193320237e-05,0.0150814661010957,0.0169938298746754,0.8156001782622218,0.0697674418604647,0.0026709627690208,0.1040304958652332,0.1322837938608331,0.7437616314778654,0.0011448578621399,2.466983878204054e-06,0.5239981994734413,0.0020606721285508,0.1001941851693142,0.8571428571428571,9.184138541030923e-05,0.0068271682492736,0.006160925889408398,0.0485585060682662
18,0,0.0135704085490712,0.00020447447673729995,0.0146469391281961,0.0273484793405297,0.6534443660938505,0.2325581395348838,0.0018792461270625,0.0868043724594251,0.1122451751391562,0.7004746361968139,0.0036230974712309,1.6777014920183235e-05,0.52825860078749,0.0051413115391482,0.2350396384787314,0.9285714285714282,0.0,0.0,0.0010369345886580997,0.04218739009227
19,0,0.0895651434711603,0.008145686320170199,0.0373020757402779,0.3981442655746074,0.0,0.0930232558139535,0.0017391881259801,0.0630608174460786,0.0660950193134344,0.0307052818186431,0.0867210994565951,0.0076006318021824,0.9339991524076554,0.4022107639620959,1.0,0.238095238095238,0.0007080005827942,0.0468688303400992,0.05007194797021679,0.0951840885299045
20,1,0.1277179244047542,0.016480967270671696,0.0796742014087894,0.5032910869301047,0.0578419781853841,0.0697674418604647,0.0013735367193499,0.0898563755388644,0.1001011285711293,0.5950260495408556,0.1207592762965551,0.0146901619123985,1.0,0.4715407510834938,0.9146926007824792,0.2142857142857138,0.0007817444110279,0.014231540591594,0.013764028408711996,0.0604054850672484
21,1,0.0114555281781782,0.00014841785282559996,0.0107946750906808,0.0102576276472587,0.6584502672790421,0.0930232558139535,0.0003326529928522,0.0432115325231697,0.0458195041560886,0.1564369884741003,0.0033603056670108,1.467797056912228e-05,0.5238814877235363,0.0039717182319384,0.0641640259744246,0.1428571428571428,0.0008871124328926,0.0091289535450741,0.009223626955388899,0.0139620467264803
22,1,0.0023497453901124,9.079512840817738e-06,0.0052419053363641,0.0073532880646146,0.470310450428875,0.4186046511627909,0.0042590910140363,0.0501812935919344,0.0698520484667769,0.2999854862386371,0.0019051594335924,5.552342110712581e-06,0.5250969771211038,0.0029097731149708,0.1060203206628713,1.0,0.0029033166164702,0.0195645808763946,0.021961311880481397,0.1015210721686653
23,1,0.0013514094068657,3.874788737570204e-06,0.0039498164276371,0.0047323023763676,0.3824318806356281,0.4883720930232556,2.3464302674460894e-05,0.0517744319347078,0.0528100584108078,0.09411920932978,0.0053625966290481,3.4150691785328196e-05,0.5286112111200127,0.0048887634060888,0.2616659859779485,0.3809523809523809,0.0079228972475218,0.0122062471809805,0.012646958115395696,0.0318123570953373
24,1,0.0007200207143597,1.610535245650133e-06,0.0036098085238017,0.0004926999311675,0.6560996011253049,0.0232558139534879,2.591718886865962e-05,0.0210453011734625,0.0195470099009922,0.0066346416839192,0.0060197597144215,4.22876755953797e-05,0.5282454131826484,0.0051840375494302,0.1132157007189998,0.0952380952380952,0.0151308285461421,0.0282496980399057,0.027854017266261494,0.0106265661598058
25,1,0.0010423278760999,2.666908545977197e-06,0.004716730080225,0.0043774848801954,0.393466599592737,0.2325581395348838,0.0,0.0044113083269793,0.0056855866657077,0.0769621820641242,0.0064832535966738,4.85455425814373e-05,0.5225717330283427,0.0051357797632504,0.1865763125497934,0.0,0.0001348003457281,0.0048429196859083,0.004642037991205099,0.0184060098806591
26,1,0.002889621004685,1.27232824185701e-05,0.0090570847522725,0.0103107755809821,0.9605014623953102,0.4418604651162788,0.0013019403273096,0.1476540787043191,0.1759277508752658,1.0,0.0082330157438104,7.603872839113845e-05,0.5225627867729754,0.0072857182538071,0.1549914350835569,0.0,0.0592982480592867,0.0475662753933628,0.044896701818760994,0.1714946574480798
27,1,0.0014256346098144,4.193266161169927e-06,0.0044754617074269,0.0050020977406347,0.4743737968738909,0.5813953488372092,0.0002467581051666,0.0077275725786696,0.0134765307367386,0.20237093189125,0.0116353983730568,0.0001470106020026,0.5305550803414166,0.0097208566186768,0.1558384856518887,0.1190476190476186,0.0047708424153858,0.0051654114998048,0.006464106153213098,0.233006722238646
28,1,0.0,0.0,0.0039020148578973,0.0,0.621507008597952,0.1395348837209303,2.2915696492439698e-05,0.0,0.0,0.0062048435736329,0.0239415536700308,0.0005968266319719,0.5553417397541314,0.0207551664350832,0.1342866093978136,0.0,0.0094400862745674,0.0679853298930635,0.06426631137587918,0.0224006070441003
29,1,0.0032908518233137,1.5808327748284877e-05,0.005977267987759,0.0027776427664175,0.5907853248261984,0.0,0.0001555182411125,0.0326099577867731,0.0313599033613969,0.0169364571804448,0.0715030894008875,0.005179821668789,0.5585910836595509,0.0457511555371052,0.1809821637488152,0.0238095238095233,0.0358013583015196,0.4978571034272594,0.5283650086593047,1.0
30,1,0.0034465163395279,1.7091782322533563e-05,0.0060276586699113,0.0026961002997012,0.6064656381884835,0.0,0.000334829276902,0.0085639891517696,0.0091571977123199,0.0047582607420316,0.0151204043638045,0.0002436842752054,0.5201723222551682,0.0120307270791561,0.1594577561758183,0.0,0.0088812613124444,0.0644774537411773,0.06503309661959879,0.0909058057325329
31,1,0.0038162787218591,2.033446288724134e-05,0.0079387105372484,0.0122113049260154,0.6149373545233973,0.3023255813953485,0.0003661477997421,0.0424572114299328,0.0419311099104492,0.0176973534204316,0.0031748598968559,1.3279765851613658e-05,0.5243267777088119,0.0030825905351473,0.1990120665258602,0.0952380952380952,0.0013206056029259,0.0443199705260854,0.049041650083329086,0.0452132106336106
32,1,0.0061120263020771,4.657737744338766e-05,0.0141043232606203,0.0210215958918052,1.0,0.1395348837209303,0.0014657439363301,0.0314543480410468,0.0392462658972609,0.0637184776217634,0.0021546468546947,6.81645485062466e-06,0.525032341644403,0.00236648089289,0.1634182644757797,0.1666666666666661,0.0003250653852894,0.0178584211545682,0.017664665750995696,0.016691301891645
33,1,0.0018619872649153,6.287974486033051e-06,0.0026050751946973,0.0024262842664615,0.625043997287634,0.0,0.0002585487930302,0.031828525657473,0.0309372370280578,0.0156112515741771,0.0054409432356873,3.5075475881030225e-05,0.5300092110672265,0.0052843458846537,0.2466971674736854,0.0952380952380952,0.0212583425948794,0.134170223028679,0.13185601688796367,0.1557127817076345
34,1,0.0049976013385531,3.252377980996346e-05,0.0041189793340492,0.0030556528255828,0.6625204188466627,0.0232558139534879,0.0006267414804613,0.0353701471490919,0.0348528564776055,0.0125515423952777,0.0010779578331342,2.2507826237373226e-06,0.5251221715299665,0.0019335939985207,0.1117394287443373,0.1904761904761904,0.0019896338935728,0.0220296161443733,0.024189720129689594,0.1573818604244975
35,1,0.0018824106483418,6.395331568839611e-06,0.005327306948984,0.0028781544237072,0.6283937029486854,0.1627906976744182,0.001938878345825,0.0918990933834648,0.0953252200089,0.0232553800777413,0.0004281635332314,6.160711997555542e-07,0.5240944857529508,0.0004107552461985,0.1865586873147691,0.1666666666666661,4.673435683344744e-05,0.0028143911832572,0.003545141806488399,0.0003269491018873
36,1,0.0058174089488293,4.262090492798982e-05,0.0055854779865258,0.0146920124572561,0.4534311309499406,0.2790697674418606,0.0022913726431569,0.0624761072764304,0.0618461811156208,0.0297882549052173,0.0029444250529652,1.1638093681765896e-05,0.5264442071600185,0.0032371847212417,0.1984805077552746,0.2619047619047615,0.0044149748825828,0.1660705951928436,0.16323307234475798,0.1712859975424743
37,1,0.0048210325682178,3.052474007237068e-05,0.0062650802848833,0.0170779019560742,0.2836834532076775,1.0,0.0001636705776907,0.0130490497443782,0.0117702638198003,0.028870408014918,0.0010996752590033,2.3199867110889905e-06,0.5270784313964911,0.0027479422524787,0.2294347383938715,0.2619047619047615,0.0001518305764318,0.0027873964937613,0.005972420889280798,0.0442089055115858
38,1,0.0178578640613644,0.00034552503672879997,0.0136673048100879,0.0166828342931737,0.635906429481389,0.2790697674418606,0.0009015070810786,0.0505105897852675,0.0488143494790344,0.0232145928192287,0.0080252506367588,7.245416419996068e-05,0.5265830142362063,0.0063666833246273,0.1732627205427076,0.0952380952380952,0.0027027858504297,0.0242360389811991,0.028551872656684994,0.0836743126153607
39,1,0.032410825265789,0.0010980623091904997,0.0383116076170356,0.0521849403972799,0.6142657259535562,0.0697674418604647,0.0033180499493164,0.0872208132174288,0.1141598561674678,0.6519765549985966,0.0063351210158319,4.649886110792766e-05,0.5237671319069485,0.0074394228967978,0.1698990498243261,0.0714285714285709,0.0031528392986629,0.0120485672763152,0.011753170268695297,0.0636757093317284
