timestamp,channel_3,channel_4,label
1744858763.14889,164487.53797859407,-172808.5336456935,1
1744858763.151905,168021.2593700003,-174116.4459724958,1
1744858763.154876,167852.0566644736,-174064.70168408178,1
1744858763.159866,163288.81392345595,-172765.70770331714,1
1744858763.16391,163394.22475030718,-172581.41757028314,1
1744858763.166941,167862.89726053446,-173905.55726355998,1
1744858763.169877,168024.4556694574,-174159.51778406117,1
1744858763.173961,164395.06881178246,-172944.25343802612,1
1744858763.177955,162486.31924227707,-172415.63468165812,1
1744858763.183935,167565.21672787867,-173650.27799013592,1
1744858763.186915,168092.3826208571,-174203.79658982714,1
1744858763.190949,165470.7018102052,-173140.12177468798,1
1744858763.193924,161798.86898980965,-172303.25011053684,1
1744858763.197945,167056.3792653536,-173371.48468154488,1
1744858763.201962,168113.68383332298,-174211.30677596413,1
1744858763.205978,166388.12916137328,-173355.92786740398,1
1744858763.210974,161564.3321352401,-172282.9100230825,1
1744858763.214979,166329.94757055613,-173089.87505315247,1
1744858763.219011,168117.12600196913,-174169.77723476617,1
1744858763.221999,167118.42770796153,-173579.981753824,1
1744858763.22596,161822.9865220769,-172343.5279540453,1
1744858763.230033,165372.39883809077,-172827.5996837139,1
1744858763.23598,168095.08718193616,-174076.9951435322,1
1744858763.238986,167600.57718760698,-173782.10857893332,1
1744858763.242992,162501.4960767622,-172482.13112141265,1
1744858763.247074,164332.10394765186,-172612.91117822067,1
1744858763.250074,168015.0008815528,-173948.807889081,1
1744858763.254082,167896.62604291752,-173958.57560140797,1
1744858763.258038,163459.1789196943,-172675.09373129532,1
1744858763.262104,163246.5244229465,-172436.13123132364,1
1744858763.266046,167837.19275441085,-173769.9715816941,1
1744858763.271134,168052.84238491565,-174095.837664108,1
1744858763.274058,164586.73502048673,-172907.44011490824,1
1744858763.278187,162361.6635634498,-172324.3725090471,1
1744858763.282076,167506.47634345014,-173553.8078610668,1
1744858763.286109,168110.08520246568,-174174.6499150574,1
1744858763.29016,165640.21744015426,-173150.7612050487,1
1744858763.294136,161748.9798961854,-172272.44940667742,1
1744858763.299131,166965.6088311206,-173313.83953259463,1
1744858763.302183,168126.26786545134,-174216.6711946334,1
1744858763.306128,166541.43977659225,-173416.8810745336,1
1744858763.310134,161607.7168712279,-172305.79820940475,1
1744858763.314207,166220.7369471475,-173063.67880865085,1
1744858763.320139,168126.46903115144,-174183.5012058617,1
1744858763.323194,167210.58395035076,-173643.12543191022,1
1744858763.327215,161872.49563604544,-172391.3830389241,1
1744858763.330205,165189.80743763538,-172816.62497718632,1
1744858763.334219,168095.60127205864,-174107.37116424696,1
1744858763.338219,167679.21062460073,-173860.2502775491,1
1744858763.342235,162601.2295605218,-172547.1299942887,1
