epoch_index,label,C3_mean,C3_std,C3_var,C3_min,C3_max,C3_range,C3_skewness,C3_kurtosis,C3_zero_crossing_rate,C3_signal_energy,C3_delta_power,C3_theta_power,C3_alpha_power,C3_mu_power,C3_beta_power,C3_gamma_power,C4_mean,C4_std,C4_var,C4_min,C4_max,C4_range,C4_skewness,C4_kurtosis,C4_zero_crossing_rate,C4_signal_energy,C4_delta_power,C4_theta_power,C4_alpha_power,C4_mu_power,C4_beta_power,C4_gamma_power
10,2,-9.495584048470127e-07,1.365681889546535e-05,1.8650870234353943e-10,-0.0001458910555811599,3.496105273370631e-05,0.0001808521083148662,-7.918290550392813,77.80311378843466,0.249500998003992,9.389259211738525e-08,5.283558660845153e-14,1.2351026408783258e-13,8.724028065589227e-14,9.667279560514791e-14,5.136527958054813e-14,7.20075373576176e-15,-1.686432204378707e-07,2.7578747744825463e-06,7.605873271727155e-12,-2.4982375180115923e-05,6.77310617902549e-06,3.175548135914141e-05,-5.243219698887047,43.853401194702144,0.26746506986027946,3.824791217570932e-09,1.9560495467370437e-15,5.3881277595544946e-14,8.839230809670767e-14,9.856943423728939e-14,5.122967173549987e-14,7.289643761072247e-15
11,2,9.780749787844405e-07,1.4181429233688064e-05,2.0111293511010246e-10,-3.700656088767573e-05,0.00015082229219842702,0.00018782885308610275,7.985413930969862,78.67935946199066,0.22954091816367264,1.0123685245288757e-07,5.55326367386736e-14,9.490644708023699e-14,1.0940635683979957e-13,1.0178230106278774e-13,4.605778897502371e-14,9.311358146548775e-15,1.7240167749996843e-07,2.8134793257914804e-06,7.915665916656084e-12,-7.424722753057722e-06,2.6845818865695037e-05,3.427054161875276e-05,5.926175554571056,52.60599407589766,0.25149700598802394,3.980639515785504e-09,1.89549676779485e-15,3.223863895792781e-14,9.821034756528226e-14,9.199113444957207e-14,4.605390348850067e-14,9.391882217324427e-15
12,2,6.523084979750799e-07,9.453835569129518e-06,8.937500696813844e-11,-2.6576497475616634e-05,0.00010933218436548486,0.0001359086818411015,7.922956615667521,80.35042099358483,0.2375249500998004,4.499005718567914e-08,2.554007456845679e-14,5.4177694860007994e-14,1.2220102898857233e-13,1.1237146467402312e-13,5.374323251663278e-14,4.450315689534283e-15,1.321743360704121e-07,2.223113042252462e-06,4.942231598632998e-12,-6.2429753597825766e-06,2.026746005867608e-05,2.6510435418458655e-05,4.236153158246782,34.80310426839278,0.2634730538922156,2.4848105285280746e-09,1.1140635237388478e-15,2.867288529869593e-14,1.1936663715225762e-13,1.1011068952647607e-13,5.343643139535451e-14,4.323708971682315e-15
13,2,-7.228033923019702e-07,1.0944614556550804e-05,1.1978458779146377e-10,-0.00014445440319832414,3.3657794119790196e-05,0.00017811219731811434,-9.325167818157674,112.57844368540925,0.24151696606786427,6.027382330022886e-08,3.3246600431652523e-14,7.667193254914567e-14,1.3167144829698079e-13,1.2376155450602126e-13,4.932829229491678e-14,5.969478923091434e-15,-1.5589900902625772e-07,2.5650955142616966e-06,6.579714997285478e-12,-3.0175502615747973e-05,6.621512966376031e-06,3.6797015582124004e-05,-6.462405620292035,66.90199122269145,0.25948103792415167,3.308613768648724e-09,1.467637416851428e-15,3.9507831698610377e-14,1.2399655901343482e-13,1.177699380159426e-13,4.929992705453084e-14,5.811987148523284e-15
14,2,6.455955626408365e-07,1.0232061062349475e-05,1.0469507358364825e-10,-3.2708889193600044e-05,0.00013751702499575913,0.00017022591418935917,9.652677820694674,121.96897625259355,0.25748502994011974,5.266104547428906e-08,2.8763606994682215e-14,7.832547846578876e-14,1.1219222554751956e-13,1.0450843849519867e-13,5.4718604703808426e-14,6.923475020678401e-15,1.4868455574807415e-07,2.61711577550716e-06,6.849294982408444e-12,-7.044978246995015e-06,2.9183534934418276e-05,3.622851318141329e-05,5.771439926626662,58.0561935891798,0.25349301397205587,3.4425724418427493e-09,1.4701386890116917e-15,5.525617111931993e-14,1.092348572527614e-13,1.0341696207993673e-13,5.592970915243278e-14,7.246133820996111e-15
15,1,5.173273146053934e-07,8.061344688940374e-06,6.498527819390718e-11,-2.517352368158754e-05,0.00010542387462919578,0.00013059739831078332,8.783954010983514,104.37129462927234,0.26147704590818366,3.269170577791635e-08,1.7166385304873102e-14,4.3786905475099196e-14,9.173934770744729e-14,9.050121179136972e-14,6.094111383513916e-14,1.2631779707093482e-14,1.2421228648168914e-07,2.3282365770845475e-06,5.420685558874371e-12,-6.607690011151135e-06,2.436116847093217e-05,3.0968858482083306e-05,4.819239788194353,46.17854592822169,0.29740518962075846,2.7234932397446775e-09,9.80766782430605e-16,2.3235256814985618e-14,8.856730668872425e-14,8.874816456487478e-14,6.09837114968855e-14,1.3314642277691541e-14
16,2,9.314563884475273e-07,1.3477298955022372e-05,1.8163758712304714e-10,-3.4204487747047096e-05,0.00014501622354146093,0.00017922071128850803,7.99380487175807,78.8565333516001,0.22554890219560877,9.143510426144003e-08,4.974379462820638e-14,1.2228100654541802e-13,1.6019827380762533e-13,1.5106642737608877e-13,4.660848748625098e-14,4.411810765374457e-15,1.979038228601623e-07,3.1256432324731186e-06,9.769645616705006e-12,-7.93936396803474e-06,3.072137769777328e-05,3.866074166580802e-05,6.317802156205499,56.91295162357573,0.24151696606786427,4.914214581443645e-09,2.3221608427765755e-15,7.210163750189421e-14,1.6779720644769347e-13,1.5801769950901603e-13,4.5586794716954064e-14,4.624588447968877e-15
17,1,9.093668786245439e-07,1.3108095277273252e-05,1.7182216179807332e-10,-3.505311906337738e-05,0.00013582309475168586,0.00017087621381506324,7.915904336548352,77.77531987250771,0.23353293413173654,8.649720406892435e-08,4.784244632544411e-14,1.0031331565774399e-13,9.434373922740208e-14,8.781406072600068e-14,5.704938090651402e-14,3.963913859689051e-15,1.9710611562966286e-07,3.0975170453246693e-06,9.594611846076869e-12,-9.867449989542365e-06,3.0444587537203915e-05,4.031203752674628e-05,6.00258068373042,54.52141329970124,0.2554890219560878,4.8263647961146385e-09,2.2819369215908575e-15,4.541227267438489e-14,8.614807057294362e-14,8.112819832546321e-14,5.613154490399554e-14,4.169754047844787e-15
18,1,-1.4753602718318342e-08,8.341884279736073e-06,6.958703333650782e-11,-8.508384053129703e-05,8.103168511297554e-05,0.00016611552564427257,-0.6967458454505657,74.57145250996712,0.24550898203592814,3.48632127536558e-08,1.7868469569579436e-14,6.590440921646907e-14,1.3598286196817755e-13,1.2420085365777934e-13,4.266248500006134e-14,4.793734654742079e-15,9.70948949008421e-09,2.2118840866665917e-06,4.892431212848903e-12,-1.7652895621722564e-05,1.9243238057242706e-05,3.689613367896527e-05,0.5692468146133465,34.92087820049223,0.2435129740518962,2.4511552690045657e-09,6.657267976203415e-16,4.6964086810103515e-14,1.2977415277424226e-13,1.20058511799113e-13,4.3934145678621734e-14,5.039503718588035e-15
19,1,-4.2163614070870033e-07,8.90035582723772e-06,7.921633385144445e-11,-0.00012595772568602115,2.939873593277298e-05,0.00015535646161879413,-11.047053820093186,153.43762243824096,0.281437125748503,3.977644955418468e-08,2.1601601040636345e-14,6.791397274289643e-14,6.599825054478026e-14,6.968541036153351e-14,4.8507612027123904e-14,6.926486367392718e-15,-7.696302992335076e-08,2.201224328028677e-06,4.845388542305301e-12,-2.5553021259838715e-05,5.062477157480316e-06,3.061549841731903e-05,-6.134964948603706,67.28778248604034,0.2934131736526946,2.430507236990422e-09,8.908899799972782e-16,4.8538372512475835e-14,5.920956176549653e-14,6.456936619291279e-14,4.943777167853431e-14,7.138310826804253e-15
20,2,4.4114344963989576e-07,6.774351253886566e-06,4.5891834911034485e-11,-2.0465478883124888e-05,8.544527372578159e-05,0.00010591075260890648,8.782119224981853,102.69873381348096,0.22554890219560877,2.3089307669551528e-08,1.1684046917351621e-14,8.164750880702862e-14,1.7066560290141459e-13,1.5203037512320922e-13,5.102553638868181e-14,4.808926455428189e-15,1.0416423554531774e-07,1.999582813543061e-06,3.998331428216784e-12,-4.490150331548648e-06,2.0232442693668418e-05,2.4722593025217066e-05,4.252864012452492,38.574855439325454,0.249500998003992,2.0085999897079457e-09,6.109649962576907e-16,6.597855724749356e-14,1.6981493391170652e-13,1.5091428946518766e-13,5.138674188372712e-14,4.9143049558843676e-15
21,1,4.899717634424487e-07,7.517325408370872e-06,5.65101812953383e-11,-2.3679687728872523e-05,9.601331112207845e-05,0.00011969299885095097,9.147061318768161,108.36543779895072,0.25349301397205587,2.8431877065778904e-08,1.5559075868949918e-14,4.0429948930362446e-14,1.278634313395592e-13,1.2059291719688617e-13,4.2193330227683055e-14,3.998409680055995e-15,8.980712538612139e-08,1.8863399726053499e-06,3.558278492248752e-12,-4.57888336313772e-06,1.9510587662807666e-05,2.4089471025945386e-05,4.583741403369733,43.701417909540844,0.2834331337325349,1.7867382498214541e-09,5.535002233494684e-16,2.6710226926917528e-14,1.2214512693178566e-13,1.1588746548137693e-13,4.218880292384526e-14,4.003097593394192e-15
22,2,-7.805026372031644e-07,1.1382961631340884e-05,1.295718155005787e-10,-0.00013760135334450752,3.1203402613755316e-05,0.00016880475595826283,-8.55595050513931,92.00102197804068,0.24550898203592814,6.522068093349716e-08,3.529300099391492e-14,7.094308178236812e-14,1.1914735489319647e-13,1.177570586278227e-13,4.2085580457690383e-14,5.3203339500216695e-15,-1.6997050595201314e-07,2.7031567602780712e-06,7.307056470637037e-12,-3.1046190997585654e-05,6.348292572511127e-06,3.739448357009678e-05,-7.027590975530876,71.30787479865761,0.26746506986027946,3.67530916820884e-09,1.7319960319098731e-15,3.297177445435212e-14,1.1278507218042016e-13,1.1360732237204253e-13,4.20942356801296e-14,5.701791590406647e-15
23,1,8.441576082817816e-07,1.2030747207529406e-05,1.4473887837147662e-10,-3.0274950404418632e-05,0.00013249854964669794,0.00016277350005111657,8.037242987677482,79.95143950022472,0.2435129740518962,7.287119169998741e-08,4.054274965574979e-14,6.702798818832097e-14,1.0507155821523238e-13,9.53782857634292e-14,4.8567744675290555e-14,3.563584617774714e-15,1.8278130528310255e-07,2.8297521439717227e-06,8.007497196312561e-12,-7.876297786424402e-06,3.006955739692785e-05,3.794585518335225e-05,6.1699148046299745,57.12301944558532,0.25748502994011974,4.028494007138651e-09,1.9044855662607527e-15,2.173232841551731e-14,9.797491649714863e-14,8.948686650425056e-14,4.864916878069699e-14,3.4027130040068942e-15
24,2,6.27742396991515e-07,1.0318247209372258e-05,1.0646622547371837e-10,-3.5103475966025144e-05,0.00014360972272697836,0.0001787131986930035,10.067297489679225,133.8664380064479,0.2435129740518962,5.353700328134021e-08,2.957528446128591e-14,5.1231764210202954e-14,1.0608276899749568e-13,1.2027352816043918e-13,4.740810305449011e-14,7.014808764919298e-15,1.480337673228179e-07,2.631709855626375e-06,6.925896764200994e-12,-8.709002031537239e-06,3.066893623326905e-05,3.937793826480629e-05,6.072554478184672,66.58384587559735,0.2634730538922156,3.4808531909948596e-09,1.488258942842952e-15,2.60768427924719e-14,1.0945038551730149e-13,1.2370127612141376e-13,4.7593306974902075e-14,6.9731035484962866e-15
25,1,5.487020385941177e-07,1.0038114064951458e-05,1.0076373398097629e-10,-3.367596218595281e-05,0.0001437111059203744,0.0001773870681063272,11.007514297032426,153.54288502823135,0.2654690618762475,5.063346876197495e-08,2.7044818280656573e-14,6.329935718231498e-14,9.445139163194077e-14,9.053416000509795e-14,4.5268005977394015e-14,4.0239241004517784e-15,1.3561678837377784e-07,2.6262804603856283e-06,6.897349056603348e-12,-8.448780135950074e-06,3.320057294331491e-05,4.1649353079264984e-05,7.804064291733705,96.12126479118282,0.26147704590818366,3.464786225915976e-09,1.541356994841398e-15,4.382468480907431e-14,8.981450313190151e-14,8.67388772108056e-14,4.4655810882272184e-14,3.748799955229696e-15
26,2,5.033592376366452e-07,9.254805374453786e-06,8.565142251901868e-11,-3.1038820452522486e-05,0.0001322741445619613,0.00016331296501448378,11.153919789911477,155.7547561561506,0.22954091816367264,4.303830131360755e-08,2.280225046511847e-14,6.99696758843171e-14,1.2381852254453854e-13,1.2768133722047695e-13,3.9631164832856324e-14,7.83778254609582e-15,1.153874694560761e-07,2.2984523186327414e-06,5.282883061028225e-12,-6.762482826161431e-06,2.835500163200777e-05,3.51174844581692e-05,7.185670920163847,85.37421521698869,0.25748502994011974,2.6533948618969863e-09,1.0265692040603637e-15,4.3590897305786976e-14,1.1841609290654692e-13,1.2311182460970634e-13,4.001977742881461e-14,8.659259652029372e-15
27,2,-6.004193640242913e-07,8.882061580950741e-06,7.889101792780117e-11,-0.00010604377166600898,2.559758286224678e-05,0.00013164135452825576,-8.064002556810788,83.6525161322356,0.24550898203592814,3.970501219158875e-08,2.1787734319013793e-14,4.407100191104889e-14,1.19759516399546e-13,1.0741151606549535e-13,5.422034461597149e-14,6.539263242593981e-15,-1.2023655488412446e-07,2.1742375700256503e-06,4.727309010911044e-12,-2.1398287572083063e-05,6.897038474562578e-06,2.829532604664564e-05,-4.378289811904466,37.260939239676915,0.249500998003992,2.375624685860765e-09,7.7953044309889e-16,2.614646401831243e-14,1.154158250157691e-13,1.0313466494005259e-13,5.4026216233869513e-14,6.930162291213289e-15
28,1,-5.453902272803507e-07,7.927189917233133e-06,6.284033998388263e-11,-8.27164767542854e-05,1.9635941498563625e-05,0.00010235241825284902,-7.73296776491556,75.51460642276886,0.2375249500998004,3.1632033032431676e-08,1.7852244518024504e-14,5.637647745032449e-14,1.1232791181674125e-13,1.0940784840205782e-13,5.362813183495209e-14,6.6292171386984495e-15,-1.1058838736482823e-07,2.0188830779433103e-06,4.075888882405854e-12,-1.7252281395485625e-05,4.168382474745158e-06,2.1420663870230783e-05,-3.8386053033118417,29.124535521344406,0.26147704590818366,2.04814745558673e-09,7.651762718841366e-16,3.4555408649216205e-14,1.1126085754179543e-13,1.0886372704583351e-13,5.447424885633449e-14,7.101847690593306e-15
29,1,9.836230649111292e-07,1.4176779314140087e-05,2.0098107172183026e-10,-3.741049295058474e-05,0.00014547166938427836,0.0001828821623348631,7.870759022958888,76.97042955230248,0.2694610778443114,1.0117624161388336e-07,5.57326204480391e-14,6.76107830021269e-14,1.0128571303775434e-13,1.0149313935200868e-13,5.868798951491699e-14,3.155523938657836e-15,2.1140475603221141e-07,3.294397701011262e-06,1.0853056212428287e-11,-1.0201914847129956e-05,3.098102024523541e-05,4.118293509236537e-05,6.026412571060621,53.74529781928647,0.2874251497005988,5.459771839833963e-09,2.6249575433941238e-15,2.048995823150095e-14,1.0392761660713786e-13,1.0328402143912208e-13,5.884976922715989e-14,3.0259803015126308e-15
30,2,9.858569376049616e-07,1.4177270184469975e-05,2.0099498988346128e-10,-3.5183507861802354e-05,0.00014902556722518057,0.00018420907508698292,8.16075602329726,80.76713970077532,0.2315369261477046,1.0118541879622748e-07,5.5020684964246904e-14,9.12826469030454e-14,9.918100208345401e-14,9.778083627012852e-14,4.031981970300621e-14,4.616144477697837e-15,2.0731129948842153e-07,3.2386771728188418e-06,1.0489029829737845e-11,-7.956011359055992e-06,3.265257691964507e-05,4.060858827870106e-05,7.1141288478417515,67.06211648953251,0.27345309381237526,5.276535910121346e-09,2.38722545874285e-15,3.2984319797564774e-14,1.0491858449055301e-13,1.0145318520342856e-13,4.0551108811065084e-14,4.500677112787254e-15
31,2,-2.813296875122225e-07,5.334965700263697e-06,2.846185902299012e-11,-7.288608321687207e-05,1.7841075532487594e-05,9.072715874935966e-05,-9.782751373359718,130.53265346733602,0.2654690618762475,1.429904371344899e-08,6.655506816854818e-15,5.728521467643807e-14,1.213926044841005e-13,1.0908478462919201e-13,5.857486398105468e-14,6.665429534922465e-15,-6.494637492608206e-08,1.7500324404579097e-06,3.0626135426550676e-12,-1.5710227671661414e-05,5.071038685855456e-06,2.078126635751687e-05,-2.8560056176491115,24.04538433610141,0.2774451097804391,1.5364826187098244e-09,3.404169967829679e-16,4.899682766025232e-14,1.195902355050735e-13,1.073473033320453e-13,5.998042436020362e-14,6.606300551024577e-15
32,1,8.431205752585656e-07,1.2243522782822445e-05,1.4990385013349227e-10,-3.6055160308023915e-05,0.00014789881242904812,0.00018395397273707204,8.34113378562932,89.40813188031329,0.24750499001996007,7.545796592139622e-08,4.1418589193229646e-14,5.537766200260681e-14,7.610676486595749e-14,8.029235668309548e-14,4.095920818032221e-14,3.95836610658189e-15,1.887090769214761e-07,2.9097514777672273e-06,8.466653662368563e-12,-9.204877642332576e-06,3.193458906025626e-05,4.1139466702588834e-05,6.387324166255713,62.16015111466062,0.2654690618762475,4.259634653818641e-09,2.096419111701967e-15,1.3831649136496469e-14,7.525786212422938e-14,8.022062596646335e-14,4.0524928629877775e-14,3.7260666237765935e-15
33,1,5.2990369795263096e-08,1.3225113560365155e-05,1.7490362868455432e-10,-0.00012515643902588636,0.00014038124936632812,0.0002655376883922145,1.4165967147768241,71.3684610503858,0.23353293413173654,8.762812476858652e-08,4.568721148463721e-14,1.2207077273811152e-13,8.300376782346085e-13,7.857203938189679e-13,8.349994523474294e-13,2.5768791312297256e-13,9.626447223297532e-09,3.1665313303743403e-06,1.002692066624229e-11,-2.8546985049615614e-05,3.1096788006834686e-05,5.96437730564503e-05,0.8941150944921474,53.18264744679104,0.25349301397205587,5.023533680698946e-09,2.364751197521459e-15,2.0331666201949174e-14,1.841858519382646e-13,1.5848769171326845e-13,8.066817229854466e-14,2.355056738472117e-14
34,1,7.450977469141774e-07,1.1073213249190572e-05,1.2261605166204963e-10,-3.286634455434978e-05,0.00013934809248894453,0.0001722144370432943,8.781603695932377,99.9810687199649,0.2375249500998004,6.17087823795676e-08,3.4125963272748446e-14,6.673036591036223e-14,1.1219596735280121e-13,1.0320133399046004e-13,2.9037486100170485e-14,5.105271627394112e-15,1.5765424307440623e-07,2.5602102585886644e-06,6.554676568182636e-12,-6.711171408824157e-06,3.0061664801905863e-05,3.677283621073002e-05,6.853349930283516,73.36635110801305,0.2375249500998004,3.296345245699542e-09,1.4146592903005019e-15,3.2615250878422885e-14,1.0929356031178192e-13,1.0068493575240978e-13,2.9592053981211926e-14,5.13193184201139e-15
35,1,-1.919488378613702e-07,5.253164662594053e-06,2.7595738972326892e-11,-7.089994323905557e-05,1.638571484363638e-05,8.728565808269195e-05,-9.469122387919384,126.94072932237512,0.25748502994011974,1.3843924247670297e-08,6.716470749398873e-15,1.1109632124565516e-13,1.9365716865061227e-13,1.6870537997571265e-13,4.7322122323907907e-14,5.438808181605389e-15,-5.828975294524254e-08,1.8221512149811148e-06,3.320235050257153e-12,-1.7272093828069046e-05,5.067484380560927e-06,2.2339578208629973e-05,-3.078384770880827,27.853480283490768,0.25748502994011974,1.6651400055233404e-09,4.073670877680846e-16,1.0987580529617261e-13,1.8829325476997977e-13,1.6300835519301132e-13,4.684924995553334e-14,5.3663091148720535e-15
36,2,7.887055923539642e-07,1.1655435820263382e-05,1.3584918416027872e-10,-3.593488872866146e-05,0.00014586778706870973,0.0001818026757973712,8.81651476289246,98.8669188589361,0.25349301397205587,6.837209157651624e-08,3.674820026374525e-14,6.213582835711197e-14,9.968534460741394e-14,8.652208971848891e-14,4.974158141393596e-14,5.1115663884887936e-15,1.729423362654529e-07,2.809367300591247e-06,7.89254462963135e-12,-8.904726200853474e-06,3.240577279939316e-05,4.1310499000246637e-05,6.940921927506194,71.18301395471799,0.2694610778443114,3.969149294333456e-09,1.7297261756903183e-15,2.676170131204425e-14,9.460819729210092e-14,8.237175376290903e-14,4.892190284533101e-14,4.821162336296096e-15
37,2,8.497667084550242e-07,1.2287285404047927e-05,1.5097738260052923e-10,-3.152266071992926e-05,0.000142000280902721,0.00017352294162265025,8.047125213662008,82.29853212032859,0.25149700598802394,7.60014425157232e-08,4.1585063037131766e-14,4.9531732564339494e-14,1.0719316952305514e-13,1.0421066300746899e-13,5.6021031507806427e-14,5.709338599748339e-15,1.9230167880191163e-07,3.0602157158896386e-06,9.364920227777932e-12,-6.691164799121907e-06,2.989401764352806e-05,3.6585182442649966e-05,5.5516045138253425,48.26477637730411,0.2634730538922156,4.7103519818874315e-09,2.1610786570658936e-15,1.6186964865892916e-14,9.756857054330342e-14,9.667358223618309e-14,5.678950911986774e-14,5.796300981226743e-15
