channel_3,channel_4,timestamp,label,trial_number
86822.60232053281,-94824.98238884751,1744858639.218249,0,0
149394.6246355671,-163099.22667442146,1744858639.221286,0,0
176026.51168037852,-192031.93849809727,1744858639.224317,0,0
172287.308638615,-187749.68475088733,1744858639.228297,0,0
155401.34723632922,-169156.8565734657,1744858639.232287,0,0
142763.84364373755,-155317.74075143336,1744858639.236293,0,0
142378.34199845005,-154961.2423193065,1744858639.24032,0,0
150887.90422430122,-164357.6692927145,1744858639.24434,0,0
159174.1690307294,-173475.9641783519,1744858639.248322,0,0
160396.2953212107,-174808.10436649993,1744858639.251304,0,0
154553.79590105067,-168363.99454635225,1744858639.256333,0,0
147087.52235299692,-160133.039843443,1744858639.260399,0,0
143729.0515169488,-156426.09086758064,1744858639.264341,0,0
146114.3356543696,-159052.4351469722,1744858639.268329,0,0
151295.37494050182,-164774.2184434435,1744858639.272349,0,0
154802.75439242658,-168667.23278643133,1744858639.27733,0,0
154288.56026572164,-168130.54645034915,1744858639.280372,0,0
150867.6403004631,-164369.59046199094,1744858639.284363,0,0
147542.94927639904,-160683.98323094973,1744858639.288399,0,0
146488.29165035585,-159487.15154787077,1744858639.292388,0,0
147531.362973781,-160629.83169450483,1744858639.296398,0,0
148832.21517130907,-162105.9844993942,1744858639.300354,0,0
148786.332669835,-162124.97247606266,1744858639.304354,0,0
147375.51218196854,-160609.83651923362,1744858639.307422,0,0
145920.3084361626,-158982.0019014149,1744858639.312467,0,0
145714.24293788508,-158689.09711110496,1744858639.316418,0,0
146846.99661804124,-159899.73842737236,1744858639.320378,0,0
148201.1025061,-161436.25533570844,1744858639.324437,0,0
148463.61358713848,-161840.87522293633,1744858639.328466,0,0
147208.92365917974,-160559.8799765917,1744858639.332479,0,0
145148.41758569985,-158284.50429887645,1744858639.336408,0,0
143470.20919288005,-156304.962287427,1744858639.339476,0,0
142911.77751699084,-155529.77837676078,1744858639.344417,0,0
143344.95658809153,-155961.83501420607,1744858639.348511,0,0
144085.9648109689,-156916.948193744,1744858639.352449,0,0
144536.950642473,-157647.45156573318,1744858639.355509,0,0
144566.5961257622,-157811.77578423196,1744858639.35946,0,0
144392.86257999373,-157497.25666369777,1744858639.363549,0,0
144193.76109859924,-156931.7341971728,1744858639.367472,0,0
143861.85292322986,-156225.66773388375,1744858639.372531,0,0
143120.3581504164,-155358.00869561773,1744858639.37656,0,0
141862.0943617776,-154344.97831213247,1744858639.380557,0,0
140386.6080910323,-153374.952688406,1744858639.383514,0,0
139292.96141494781,-152758.78743618313,1744858639.391538,0,0
139096.7863094465,-152729.13633123873,1744858639.395586,0,0
139850.07013635256,-153251.06946661157,1744858639.400535,0,0
141064.221869945,-153989.85278496938,1744858639.404592,0,0
141978.76159790816,-154463.91620225395,1744858639.408612,0,0
142024.68260729447,-154311.90291531855,1744858639.411629,0,0
141164.39089505054,-153516.50016652694,1744858639.415567,0,0
139793.80597225763,-152315.27050874848,1744858639.41956,0,0
138447.7921404615,-151041.5288847855,1744858639.423572,0,0
137572.12775309544,-150052.24306622025,1744858639.428638,0,0
137328.74896630424,-149589.2409485119,1744858639.433582,0,0
137587.2904888963,-149691.68268400326,1744858639.436582,0,0
138066.752350863,-150190.99013243115,1744858639.44267,0,0
138492.53788095654,-150781.4700133935,1744858639.445669,0,0
138671.2202270383,-151133.1297116496,1744858639.448609,0,0
138491.8287388538,-151006.3027030505,1744858639.452694,0,0
137921.0558866458,-150332.62844057806,1744858639.45561,0,0
137019.28707328826,-149237.39324482565,1744858639.460616,0,0
135954.15894047054,-147995.40990703093,1744858639.464706,0,0
134977.25621324888,-146934.94596556,1744858639.467632,0,0
134350.95794187754,-146322.02543245148,1744858639.471651,0,0
134236.8086613602,-146263.91659128337,1744858639.475711,0,0
134596.07954714127,-146666.11843859364,1744858639.479661,0,0
135176.76591171132,-147262.50652440533,1744858639.483724,0,0
135620.48707671536,-147712.43322264688,1744858639.488719,0,0
135630.86802252335,-147728.81597568223,1744858639.49275,0,0
135098.57612831375,-147185.73831607882,1744858639.495687,0,0
134126.73033981415,-146163.81245547545,1744858639.500729,0,0
132972.66821159745,-144918.68837868754,1744858639.504772,0,0
131947.80588445207,-143786.4296545962,1744858639.507796,0,0
131306.00603920393,-143060.34481992517,1744858639.511751,0,0
131156.0510107351,-142884.10406969528,1744858639.51677,0,0
131432.29401243117,-143200.96172560024,1744858639.520741,0,0
131929.31490838167,-143776.6714308149,1744858639.523756,0,0
132370.62978567206,-144285.0578814355,1744858639.52776,0,0
132491.01112777373,-144424.54952827853,1744858639.531831,0,0
132125.98274522356,-144026.29202979914,1744858639.53577,0,0
131286.53861811804,-143116.50996239728,1744858639.539837,0,0
130168.31435226262,-141908.5761677731,1744858639.544842,0,0
129075.4540699068,-140725.14004960252,1744858639.548855,0,0
128298.35641551434,-139879.5171170672,1744858639.551799,0,0
128008.788462289,-139561.42488192653,1744858639.555853,0,0
128202.78224151506,-139768.22849997552,1744858639.559883,0,0
128700.17889170701,-140305.40600700997,1744858639.563889,0,0
129206.36173689959,-140857.00096580386,1744858639.567824,0,0
129425.84239606,-141101.91256266233,1744858639.571901,0,0
129176.84718526568,-140832.54212522318,1744858639.576903,0,0
128451.33276623895,-140030.22026471703,1744858639.579911,0,0
127406.72703844673,-138870.408679561,1744858639.583833,0,0
126311.1631906317,-137658.3581812687,1744858639.587919,0,0
125455.42770830038,-136718.3364538995,1744858639.591916,0,0
125041.97856574139,-136274.39053779765,1744858639.595926,0,0
125114.65671922178,-136369.9650752537,1744858639.601867,0,0
125543.40290878777,-136851.85267522483,1744858639.604943,0,0
126060.13016189987,-137425.70986795728,1744858639.60788,0,0
126365.2694698691,-137763.7690698212,1744858639.611944,0,0
126238.51402512653,-137625.18707503175,1744858639.615982,0,0
125621.9563084933,-136943.5149211495,1744858639.619957,0,0
124631.67095412893,-135850.10837476683,1744858639.624976,0,0
123521.37508282418,-134626.166111024,1744858639.62798,0,0
122592.21829531061,-133600.6574456556,1744858639.631983,0,0
122082.48284482717,-133029.9165962342,1744858639.63599,0,0
122071.00793793827,-133003.16748852705,1744858639.64002,0,0
122450.1040959919,-133410.24302839884,1744858639.645027,0,0
122972.18205683773,-133983.18991940992,1744858639.648041,0,0
123341.60560810525,-134395.01547887927,1744858639.651044,0,0
123317.82554732723,-134378.5432106632,1744858639.655969,0,0
122799.91526885435,-133823.45889172558,1744858639.660033,0,0
121870.76031985253,-132816.35589806337,1744858639.663973,0,0
120764.26937318919,-131608.7046230029,1744858639.667988,0,0
119776.92633027115,-130523.89696447953,1744858639.671987,0,0
119153.62718115805,-129839.2739527902,1744858639.676074,0,0
119010.26699043062,-129686.29993093408,1744858639.679073,0,0
119291.32806157113,-130004.05679998729,1744858639.68401,0,0
119790.19951639467,-130561.04393139698,1744858639.68815,0,0
120214.07478837663,-131038.73784223267,1744858639.692145,0,0
120300.2375658651,-131147.46234139113,1744858639.69612,0,0
119910.99653094332,-130732.34955733374,1744858639.700191,0,0
119085.66514752724,-129829.34502909156,1744858639.704143,0,0
118015.69084775442,-128651.78561181188,1744858639.707144,0,0
116983.06216421718,-127513.02255037928,1744858639.7111,0,0
116257.71994792412,-126712.815472794,1744858639.716087,0,0
116000.35113252988,-126427.37190817784,1744858639.720092,0,0
116193.89564096331,-126644.15556043704,1744858639.724094,0,0
116656.27163900228,-127166.8549992358,1744858639.728094,0,0
117111.65371880733,-127688.5038358627,1744858639.732113,0,0
117292.39990308529,-127904.09902221293,1744858639.735111,0,0
117027.14182727823,-127621.0475026734,1744858639.741181,0,0
116302.2296081738,-126828.65796461937,1744858639.744198,0,0
115272.18482192454,-125701.76343592469,1744858639.749177,0,0
114204.17423589132,-124536.58435220887,1744858639.752221,0,0
113377.41818696402,-123641.96136832697,1744858639.756224,0,0
112979.70839219561,-123227.24991034795,1744858639.759228,0,0
113048.6156975074,-123327.38551965055,1744858639.763157,0,0
113455.68417602897,-123790.96244902094,1744858639.767154,0,0
113949.03377463599,-124334.38322426846,1744858639.773269,0,0
114236.37769045874,-124644.47424388357,1744858639.776257,0,0
114102.58304636745,-124493.07816409107,1744858639.780255,0,0
113488.712185816,-123821.2536912263,1744858639.784267,0,0
112515.316105517,-122760.50420093807,1744858639.788306,0,0
111428.61481377707,-121584.2903635605,1744858639.791285,0,0
110519.46300609669,-120607.96156591392,1744858639.795248,0,0
110014.37355539756,-120073.5142128708,1744858639.800223,0,0
109992.6323163926,-120060.20935121224,1744858639.804224,0,0
110346.61926053802,-120455.29564595522,1744858639.808307,0,0
110831.60076297497,-120996.49236748113,1744858639.812303,0,0
111159.2159715129,-121369.78389683495,1744858639.815326,0,0
111106.16871575377,-121324.31229730711,1744858639.819346,0,0
