timestamp,channel_3,channel_4,label,trial_number
1744858639.202233,0.0,0.0,0,0
1744858639.218249,146016.7716165509,-168082.79372248577,0,0
1744858639.221286,153046.9763931008,-168475.29035512096,0,0
1744858639.224317,161930.54311639586,-169850.30261877808,0,0
1744858639.228297,159967.92584275315,-169597.6832029442,0,0
1744858639.232287,147432.35229639438,-168209.57281703627,0,0
1744858639.236293,150589.22327628414,-168276.00220155742,0,0
1744858639.24032,161391.62020583395,-169658.12231995133,0,0
1744858639.24434,161056.9028326157,-169796.5243216186,0,0
1744858639.248322,149506.0800917244,-168391.53836864693,0,0
1744858639.251304,148309.255934865,-168131.25230446487,0,0
1744858639.256333,160497.84100029958,-169439.96929406756,0,0
1744858639.260399,161726.29287556326,-169947.57741064756,0,0
1744858639.264341,151901.53889674414,-168612.9994527101,0,0
1744858639.268329,146578.2921407571,-168030.7141579049,0,0
1744858639.272349,159167.4204668308,-169173.24592748238,0,0
1744858639.27733,162101.24338880103,-170013.64916725745,0,0
1744858639.280372,154367.40569679806,-168850.59849627002,0,0
1744858639.284363,145493.91961025234,-167978.92516600195,0,0
1744858639.288399,157334.19744183987,-168904.55560738512,0,0
1744858639.292388,162238.68426545672,-170014.4314783134,0,0
1744858639.296398,156671.75879141793,-169123.15566815803,0,0
1744858639.300354,145321.7441227131,-168008.9659105499,0,0
1744858639.304354,155119.05015934113,-168652.71850260717,0,0
1744858639.307422,162166.9798692441,-169946.90685831392,0,0
1744858639.312467,158592.6900616515,-169376.5350433034,0,0
1744858639.316418,145986.14972664713,-168075.3729433266,0,0
1744858639.320378,152609.79862329946,-168432.2185435556,0,0
1744858639.324437,161860.09041787274,-169824.50870567665,0,0
1744858639.328466,160101.298701918,-169627.72394749214,0,0
1744858639.332479,147508.4599862647,-168226.09075618873,0,0
1744858639.336408,150124.0834741692,-168254.25395420243,0,0
1744858639.339476,161279.5709108795,-169646.16413666776,0,0
1744858639.344417,161127.0873102054,-169828.50966793415,0,0
1744858639.348511,149650.85234056145,-168410.8055723674,0,0
1744858639.352449,147957.5735876052,-168116.09782172416,0,0
1744858639.355509,160342.78694901313,-169414.55536062186,0,0
1744858639.35946,161777.5901290882,-169968.18571903536,0,0
1744858639.363549,152152.99602186633,-168647.08586300444,0,0
1744858639.367472,146322.16350104375,-168028.3672247371,0,0
1744858639.372531,158975.32957498188,-169156.10213948516,0,0
1744858639.37656,162121.35995881082,-170030.41297559894,0,0
1744858639.380557,154569.21959748503,-168886.78597054316,0,0
1744858639.383514,145340.94427120022,-167988.6034713511,0,0
1744858639.391538,162232.55988747597,-170026.94845520836,0,0
1744858639.395586,156834.79241547495,-169149.01663649283,0,0
1744858639.400535,145273.86668608984,-168007.49069541582,0,0
1744858639.404592,154855.7019061687,-168634.52418262055,0,0
1744858639.408612,162138.19082238566,-169946.07984376905,0,0
1744858639.411629,158730.33210400728,-169403.22302618303,0,0
1744858639.415567,146093.7286727105,-168093.65667029103,0,0
1744858639.41956,152413.7291209375,-168417.756964893,0,0
1744858639.423572,161817.3985859631,-169805.39796416735,0,0
1744858639.428638,160216.67840679627,-169635.61411328486,0,0
1744858639.433582,147789.9802076793,-168243.56982035277,0,0
1744858639.436582,149980.67468174396,-168241.33464590725,0,0
1744858639.44267,161204.06671810948,-169614.64817698576,0,0
1744858639.445669,161201.02688086353,-169838.72441515024,0,0
1744858639.448609,149925.9799630618,-168431.6150464553,0,0
1744858639.452694,147781.44184129738,-168091.91323422352,0,0
1744858639.45561,160208.40826134782,-169372.91406070162,0,0
1744858639.460616,161812.30238822728,-169977.72991391778,0,0
1744858639.464706,152385.94590257955,-168669.48231094866,0,0
1744858639.467632,146160.2474642095,-168019.44887869942,0,0
1744858639.471651,158747.14061583765,-169123.49094432485,0,0
1744858639.475711,162136.53679329596,-170041.8347170156,0,0
1744858639.479661,154872.53276974356,-168923.75575587223,0,0
1744858639.483724,145292.12806130984,-167986.07772422765,0,0
1744858639.488719,156831.2161363621,-168855.1582521389,0,0
1744858639.49275,162226.92724787322,-170020.86878071653,0,0
1744858639.495687,157040.80844411952,-169181.11374153063,0,0
1744858639.500729,145295.52552646704,-168009.99409079482,0,0
1744858639.504772,154524.3596463632,-168606.71861251816,0,0
1744858639.507796,162103.03152835747,-169942.5259164007,0,0
1744858639.511751,158914.26460912998,-169451.32398025083,0,0
1744858639.51677,146167.6458916242,-168117.12600196913,0,0
1744858639.520741,151979.74765059326,-168387.44799941158,0,0
1744858639.523756,161737.6252100021,-169793.9762227507,0,0
1744858639.52776,160338.65187628887,-169690.13001801135,0,0
1744858639.531831,147854.17441775496,-168270.23545148797,0,0
1744858639.53577,149514.86432729536,-168221.64275904212,0,0
1744858639.539837,161069.3751060218,-169612.21183684014,0,0
1744858639.544842,161275.18996896624,-169892.86034022097,0,0
1744858639.548855,150026.04872298823,-168483.1581691692,0,0
1744858639.551799,147295.13493718326,-168100.27278664982,0,0
1744858639.555853,159992.89274130974,-169372.2211566235,0,0
1744858639.559883,161856.89411841563,-170013.00096666825,0,0
1744858639.563889,152535.41201775218,-168707.3238143115,0,0
1744858639.567824,145765.7615263178,-168015.69378563092,0,0
1744858639.571901,158482.45125799792,-169112.0244994193,0,0
1744858639.576903,162149.18788065767,-170066.1981184719,0,0
1744858639.579911,155042.27191713714,-168968.50394827177,0,0
1744858639.583833,145114.0964167233,-168003.89206455852,0,0
1744858639.587919,156532.41801648357,-168850.57614452555,0,0
1744858639.591916,162216.55603844597,-170055.3798741555,0,0
1744858639.595926,157241.90708898392,-169243.7433294944,0,0
1744858639.601867,145243.31185141945,-168047.0309313573,0,0
1744858639.604943,154206.8978198645,-168615.72636553366,0,0
1744858639.60788,162072.74491462053,-169972.63371618197,0,0
1744858639.611944,159046.9892677056,-169506.9127687112,0,0
1744858639.615982,146256.89640723425,-168147.81494710624,0,0
1744858639.619957,151724.04369402453,-168392.5441971474,0,0
1744858639.624976,161679.53302616277,-169804.95092927825,0,0
1744858639.62798,160441.93928741687,-169731.7713179316,0,0
1744858639.631983,148052.00970792887,-168301.75141116994,0,0
1744858639.63599,149303.7968044039,-168216.8147822398,0,0
1744858639.64002,160985.22078814756,-169595.85035989885,0,0
1744858639.645027,161343.2733825771,-169911.3452328855,0,0
1744858639.648041,150406.52011710647,-168513.24361720606,0,0
1744858639.651044,147281.34391085434,-168097.36705987062,0,0
1744858639.655969,159881.31283298886,-169341.50985974193,0,0
1744858639.660033,161887.18073215257,-170013.7832777242,0,0
1744858639.663973,152839.10516966644,-168729.20617213324,0,0
1744858639.667988,145758.47485762535,-168011.8492855846,0,0
1744858639.671987,158318.25534322922,-169091.39383928705,0,0
1744858639.676074,162157.45802610612,-170078.8492058336,0,0
1744858639.679073,155268.47157102486,-169013.18508543793,0,0
1744858639.68401,145114.9904865015,-168021.3040734892,0,0
1744858639.68815,156277.67518492643,-168835.77928969613,0,0
1744858639.692145,162202.5861981614,-170061.4371969029,0,0
1744858639.69612,157458.20492007793,-169294.9288242971,0,0
1744858639.700191,145337.2562333651,-168076.11055089362,0,0
1744858639.704143,153926.89751707288,-168598.78374323653,0,0
1744858639.707144,162031.5059461005,-169967.35870449053,0,0
1744858639.7111,159232.55345017355,-169559.19349899216,0,0
1744858639.716087,146447.08740080445,-168190.10444761568,0,0
1744858639.720092,151417.95890545356,-168387.67151685615,0,0
1744858639.724094,161602.71008046987,-169804.9285775338,0,0
1744858639.728094,160558.66009696247,-169795.45143788474,0,0
1744858639.732113,148270.56506521287,-168351.86402223873,0,0
1744858639.735111,148966.24075963986,-168230.78462252434,0,0
1744858639.741181,160850.9538592045,-169613.284720574,0,0
1744858639.744198,161423.1585172604,-169984.5695477211,0,0
1744858639.749177,150609.786881183,-168575.51557725854,0,0
1744858639.752221,146887.93085669648,-168111.98510074438,0,0
1744858639.756224,159659.09178961418,-169360.03945589537,0,0
1744858639.759228,161926.85507856074,-170104.57606370165,0,0
1744858639.763157,153035.15232028393,-168824.0446238571,0,0
1744858639.767154,145399.70700737322,-168046.40508251253,0,0
1744858639.773269,157987.62833924632,-169095.6183189891,0,0
1744858639.776257,162170.80201754594,-170129.8558866806,0,0
1744858639.780255,155497.04050982482,-169108.80584821771,0,0
1744858639.784267,144926.1182458542,-168075.84232996017,0,0
1744858639.788306,155949.48452108915,-168856.96874343976,0,0
1744858639.791285,162184.01189851903,-170109.80637190418,0,0
1744858639.795248,157599.13266886864,-169365.6720954981,0,0
1744858639.800223,145185.8231646804,-168115.00258624586,0,0
1744858639.804224,153460.59542424625,-168616.4416213562,0,0
1744858639.808307,161974.0843145948,-170010.16229512243,0,0
1744858639.812303,159318.96529423777,-169627.52278179204,0,0
1744858639.815326,146312.41814046123,-168225.4202038551,0,0
1744858639.819346,150899.6666550239,-168389.28084245694,0,0
1744858639.823343,161503.91536997742,-169805.75559207864,0,0
1744858639.827341,160586.93505369843,-169817.62436838442,0,0
